personId,billingYear,treatmentDate,treatmentCode,treatmentAmount
74020397,201912,201912,100503,3211
73033817,201903,201903,100503,3053
73033817,201812,201812,100503,3053
72905779,201812,201812,100503,3672
72905779,201912,201912,100503,3672
74335730,201909,201909,100503,3464
72892796,201903,201903,100503,3265
73074645,201801,201801,100503,3288
74227902,201911,201911,100703,786.42
73044820,201902,201902,100503,3059
10143738,201812,201812,100503,3675
74227902,201903,201903,100503,3334
72911714,201911,201911,100703,1126.14
72893833,201811,201811,100503,2864
72955864,201812,201812,100503,3235
73206439,201812,201812,100503,3383
73044820,201911,201911,100503,3059
73018333,201812,201812,100503,3076
73041860,201902,201902,100503,3054
72905779,201805,201805,100503,3672
73706774,201901,201901,100503,2934
73206439,201811,201811,100503,3383
10143738,201901,201901,100503,3675
73044820,201806,201806,100703,456.25
10143738,201805,201805,100703,496.1
73033817,201806,201806,100703,466.89
72892796,201805,201805,100503,3265
72893833,201810,201810,100703,530.56
72980808,201805,201805,100503,3281
73206439,201901,201901,100503,3383
73018333,201810,201810,100703,620.17
73206439,201810,201810,100703,677.43
74227902,201810,201810,100703,610.93
73401992,201806,201806,100703,463.79
73706774,201806,201806,100703,429.92
74020397,201806,201806,100703,398.64
73401992,201810,201810,100703,619.4
72905779,201810,201810,100503,3672
72911714,201812,201812,100503,5285
74227902,201911,201911,100503,3334
72955864,201809,201809,100703,696.79
72892796,201811,201811,100503,3265
73206439,201909,201909,100703,879.38
73079769,201806,201806,100703,392.27
72911714,202006,202006,100503,4884
72905779,201809,201809,100703,721.83
72892796,202007,202007,100503,3265
73018333,201808,201808,100703,620.17
73033817,201908,201908,100703,828.81
73018333,201805,201805,100703,460.9
74227902,201908,201908,100703,786.42
72893833,201808,201808,100703,530.56
73033817,201809,201809,100703,637.1
73018333,201809,201809,100703,620.17
72892796,201808,201808,100703,658.62
73041860,201806,201806,100703,453.77
73706774,201904,201904,100703,577.06
73044820,201905,201905,100703,621.81
72893833,201904,201904,100703,530.56
10143738,201803,201803,100503,3482
72955864,201804,201804,100503,3235
73206439,201808,201808,100703,677.43
10143738,201804,201804,100703,496.1
74335730,201905,201905,100703,13722.7
72892796,201905,201905,100503,3265
73401992,201907,201907,100703,1239.35
72905779,201804,201804,100503,3672
74227902,201905,201905,100703,610.93
72911714,201905,201905,100503,5285
73401992,201808,201808,100703,619.4
72893833,201910,201910,100503,2864
72905779,201806,201806,100703,540.37
72892796,201910,201910,100503,3265
73706774,201808,201808,100703,577.06
72905779,201910,201910,100703,928.31
73079769,201804,201804,100503,2186
74020397,201804,201804,100503,3021
72892796,201812,201812,100703,658.62
73706774,201812,201812,100703,577.06
73073780,201804,201804,100503,3147
73044820,201909,201909,100703,812.54
73041860,201909,201909,100703,807.66
73074645,201804,201804,100503,3288
73079769,201805,201805,100503,2186
73401992,201807,201807,100703,463.79
72893833,201903,201903,100703,530.56
72911714,201807,201807,100703,659.12
73206439,201905,201905,100703,677.43
72892796,201908,201908,100703,850.56
74335730,201908,201908,100703,908.01
72893833,201812,201812,100703,530.56
73041860,201903,201903,100703,618.15
74020397,201905,201905,100703,563.95
74020397,201903,201903,100703,563.95
72905779,201909,201909,100703,928.31
73073780,201805,201805,100503,3147
73074645,201805,201805,100503,3288
73033817,201804,201804,100503,3043
73206439,201903,201903,100703,677.43
74020397,201906,201906,100503,3211
73041860,201805,201805,100503,2874
73206439,201809,201809,100703,677.43
73706774,201809,201809,100703,577.06
72911714,201805,201805,100503,5285
74227902,201805,201805,100503,3334
73033817,201812,201812,100703,637.1
74020397,201809,201809,100703,563.95
74227902,201906,201906,100703,610.93
74335730,201909,201909,100703,523.45
73044820,201903,201903,100703,621.81
72892796,201802,201802,100703,489.28
73044820,201805,201805,100503,2880
10143738,201812,201812,100703,672.64
72905779,201805,201805,100703,540.37
73706774,201906,201906,100503,2934
72911714,201908,201908,100703,1126.14
72893833,201908,201908,100703,696.46
72892796,201809,201809,100703,658.62
72892796,201906,201906,100503,3265
72905779,201905,201905,100703,721.83
73706774,201901,201901,100703,577.06
73401992,201905,201905,100703,619.4
74227902,202001,202001,100503,3334
73206439,201812,201812,100703,677.43
72893833,201802,201802,100703,384.34
72905779,201906,201906,100503,3672
74335730,201907,201907,100703,88.93
10143738,201901,201901,100703,672.64
73401992,201907,201907,100703,619.4
73018333,201812,201812,100703,620.17
72892796,201805,201805,100703,489.28
72980808,201805,201805,100703,482.43
72893833,201905,201905,100703,530.56
73206439,201805,201805,100503,3383
73206439,201901,201901,100703,677.43
73206439,201902,201902,100503,3383
72911714,201911,201911,100503,4884
72893833,201810,201810,100503,2864
73044820,201806,201806,100503,3954
10143738,201805,201805,100503,3482
73018333,201810,201810,100503,3076
73206439,201810,201810,100503,3383
73033817,201806,201806,100503,3053
74227902,201810,201810,100503,3334
73206439,201807,201807,100503,3383
73401992,201806,201806,100503,3251
73401992,201810,201810,100503,3251
73706774,201807,201807,100503,2934
73706774,201806,201806,100503,2934
72911714,201903,201903,100503,5285
74020397,201806,201806,100503,3021
74335730,201904,201904,100503,3464
72892796,201901,201901,100703,658.62
74227902,201806,201806,100503,3334
72955864,201807,201807,100503,3235
72893833,201807,201807,100503,2864
72905779,201904,201904,100503,3672
10143738,201807,201807,100503,3482
72892796,201911,201911,100503,3265
73706774,201810,201810,100503,2934
73401992,201904,201904,100503,3251
73074645,201809,201809,100703,660.95
74227902,201809,201809,100703,610.93
72911714,201904,201904,100503,5285
73073780,201809,201809,100703,661.08
74020397,201807,201807,100503,3021
73033817,201904,201904,100503,3053
73041860,201904,201904,100503,3054
72892796,202005,202005,100703,850.56
74227902,201904,201904,100503,3334
73706774,201811,201811,100703,577.06
10143738,201809,201809,100703,672.64
72893833,201911,201911,100503,2864
73044820,201905,201905,100503,3059
72893833,201808,201808,100503,2864
72911714,202005,202005,100503,4884
72892796,201808,201808,100503,3265
74227902,201807,201807,100703,457.8
73206439,201808,201808,100503,3383
73401992,201901,201901,100703,619.4
72893833,201805,201805,100703,384.34
73401992,201811,201811,100703,619.4
72892796,201910,201910,100703,850.56
72911714,202003,202003,100703,1126.14
74020397,201804,201804,100703,398.64
74020397,201811,201811,100703,563.95
74227902,201804,201804,100703,457.8
73079769,201805,201805,100703,392.27
72905779,202007,202007,100703,1414.77
72911714,201804,201804,100703,659.12
73018333,201907,201907,100703,620.17
10143738,201808,201808,100703,672.64
72905779,202002,202002,100703,928.31
10143738,201807,201807,100703,1235.78
73041860,201811,201811,100703,618.15
73041860,201804,201804,100703,453.77
73073780,201805,201805,100703,490.69
73018333,201901,201901,100703,620.17
73018333,201811,201811,100703,620.17
74227902,201811,201811,100703,610.93
74020397,202002,202002,100703,755.09
73401992,201805,201805,100703,463.79
73074645,201805,201805,100703,492.07
73033817,201804,201804,100703,466.89
72911714,202007,202007,100703,1733.62
72893833,201804,201804,100703,384.34
73018333,201804,201804,100703,460.9
74020397,201901,201901,100703,563.95
72911714,201803,201803,100703,659.12
72905779,201901,201901,100703,721.83
72905779,202001,202001,100703,928.31
73041860,201808,201808,100703,591.69
73033817,201808,201808,100703,635.63
73706774,201804,201804,100703,429.92
73033817,201907,201907,100703,637.1
74227902,202001,202001,100703,786.42
73401992,201902,201902,100703,619.4
73018333,201902,201902,100703,620.17
72892796,201807,201807,100703,489.28
73018333,201807,201807,100703,460.9
73033817,201901,201901,100703,637.1
72911714,202009,202009,100703,1373.8
72893833,202001,202001,100703,696.46
73033817,201807,201807,100703,466.89
73706774,201805,201805,100703,429.92
72893833,201806,201806,100703,384.34
72911714,201806,201806,100703,659.12
72905779,201907,201907,100703,1445.36
73033817,201905,201905,100703,637.1
74227902,201902,201902,100703,610.93
72892796,202001,202001,100703,850.56
72955864,201805,201805,100703,537.08
73206439,201902,201902,100703,677.43
74020397,201808,201808,100703,563.95
72955864,201904,201904,100703,696.79
73206439,201806,201806,100703,498.91
74227902,202006,202006,100703,786.42
73033817,201805,201805,100703,466.89
72892796,202003,202003,100703,850.56
73206439,201807,201807,100703,498.91
74020397,202003,202003,100703,755.09
74227902,202003,202003,100703,786.42
72892796,202006,202006,100703,850.56
72893833,202003,202003,100703,696.46
72911714,201906,201906,100703,871.53
72955864,201806,201806,100703,537.08
72955864,201901,201901,100703,696.79
72892796,202009,202009,100703,1038.78
74020397,201805,201805,100703,398.64
72911714,201903,201903,100703,871.53
73044820,201808,201808,100703,595.49
73706774,201807,201807,100703,429.92
73401992,201906,201906,100703,619.4
73018333,201905,201905,100703,620.17
74335730,201906,201906,100703,719.26
73706774,201905,201905,100703,577.06
74227902,201806,201806,100703,457.8
72955864,201807,201807,100703,537.08
72893833,201807,201807,100703,384.34
72892796,201807,201807,100703,1185.38
73401992,201904,201904,100703,619.4
72911714,201904,201904,100703,871.53
72905779,201904,201904,100703,721.83
73033817,201904,201904,100703,637.1
73041860,201904,201904,100703,618.15
72911714,201807,201807,100703,1486.87
73706774,201810,201810,100703,577.06
72892796,201911,201911,100703,850.56
74227902,201904,201904,100703,610.93
72892796,201912,201912,100503,3265
72893833,201912,201912,100503,2864
10143738,201807,201807,100703,496.1
73044820,201908,201908,100503,3059
73041860,201908,201908,100503,3054
72892796,201801,201801,100503,3265
72905779,201908,201908,100503,3672
72911714,202005,202005,100703,1126.14
74227902,201807,201807,100703,1071.91
72893833,201911,201911,100703,696.46
72955864,201802,201802,100503,3235
74020397,201812,201812,100703,563.95
73044820,201807,201807,100703,1185.24
73041860,201807,201807,100703,1177.12
74335730,201910,201910,100503,3464
74020397,201807,201807,100703,1157.17
73079769,201807,201807,100703,934.99
73073780,201807,201807,100703,1192.73
73074645,201807,201807,100703,1182.16
74227902,201812,201812,100703,610.93
72911714,201909,201909,100503,4884
72911714,202003,202003,100503,4884
74020397,201910,201910,100503,3211
72980808,201807,201807,100503,3281
72911714,201912,201912,100703,1126.14
72905779,202001,202001,100503,3672
73401992,201812,201812,100703,619.4
72892796,202002,202002,100703,850.56
74020397,201902,201902,100503,3211
73044820,201807,201807,100503,3059
73041860,201807,201807,100503,3054
72893833,202002,202002,100703,696.46
72892796,202008,202008,100703,1038.78
10143738,201902,201902,100503,3675
74020397,201812,201812,100503,3211
74227902,201807,201807,100503,3334
74227902,201812,201812,100503,3334
72905779,202005,202005,100703,928.31
72911714,201912,201912,100503,4884
73018333,201903,201903,100503,3076
72892796,202002,202002,100503,3265
73401992,201812,201812,100503,3251
72892796,202008,202008,100503,3265
72893833,202002,202002,100503,2864
72911714,202002,202002,100503,4884
72905779,201808,201808,100503,3672
72980808,201811,201811,100503,3281
72911714,201811,201811,100503,5285
72911714,202001,202001,100503,4884
74020397,202005,202005,100703,755.09
72905779,202005,202005,100503,3672
73044820,201812,201812,100503,3059
73041860,201812,201812,100503,3054
72905779,201903,201903,100503,3672
74020397,202005,202005,100503,3211
72905779,202007,202007,100503,3672
10143738,201802,201802,100703,496.1
73074645,201809,201809,100503,3288
72911714,202007,202007,100503,4884
74227902,201809,201809,100503,3334
72980808,201803,201803,100703,482.43
73073780,201809,201809,100503,3147
74335730,201905,201905,100503,3464
72905779,201902,201902,100503,3672
72905779,201911,201911,100703,928.31
74227902,201907,201907,100703,610.93
72911714,201902,201902,100503,5285
73706774,201802,201802,100703,429.92
74335730,201906,201906,100703,3244.32
72905779,201907,201907,100703,721.83
10143738,201801,201801,100703,496.1
72892796,201806,201806,100703,489.28
73206439,201802,201802,100703,498.91
72911714,202004,202004,100703,1126.14
72911714,202008,202008,100703,1373.8
73041860,201907,201907,100703,1326.57
74020397,201803,201803,100703,398.64
73401992,201811,201811,100503,3251
74020397,201811,201811,100503,3211
72905779,202004,202004,100703,928.31
72893833,201806,201806,100503,2864
72911714,201806,201806,100503,5285
73401992,201807,201807,100703,1089.27
73018333,201907,201907,100503,3076
73206439,201806,201806,100503,3383
73033817,201907,201907,100703,1341.97
72905779,202008,202008,100703,1130.42
72911714,201808,201808,100703,871.53
73401992,201804,201804,100703,463.79
72980808,201804,201804,100703,482.43
73041860,201802,201802,100703,453.77
73206439,201908,201908,100703,879.38
73044820,201907,201907,100703,1335.11
74020397,201805,201805,100503,3021
73401992,201805,201805,100503,3251
73044820,201804,201804,100703,456.25
72911714,201907,201907,100703,871.53
73041860,201907,201907,100703,618.15
73033817,201807,201807,100703,1192.94
74227902,201802,201802,100703,457.8
72911714,201802,201802,100703,659.12
73044820,201802,201802,100703,456.25
73033817,201907,201907,100503,3053
73079769,201808,201808,100703,525.84
73074645,201808,201808,100703,660.95
72980808,201802,201802,100703,482.43
73073780,201808,201808,100703,661.08
73018333,201907,201907,100703,1264.34
73206439,201907,201907,100703,1413.65
73018333,201802,201802,100703,460.9
73033817,201802,201802,100703,466.89
73706774,201907,201907,100703,1171.66
73074645,201806,201806,100703,492.07
73073780,201806,201806,100703,490.69
72892796,201806,201806,100503,3265
72980808,201808,201808,100703,645.46
73033817,201905,201905,100503,3053
74335730,201906,201906,100703,6105.3
72911714,202007,202007,100703,1126.14
72911714,202004,202004,100503,4884
74227902,202006,202006,100503,3334
72892796,202006,202006,100503,3265
72911714,201906,201906,100503,5285
72911714,201808,201808,100503,5285
74227902,201802,201802,100503,3334
73041860,201804,201804,100503,2874
74020397,201907,201907,100703,563.95
72911714,201801,201801,100503,5285
72911714,201809,201809,100503,5285
73041860,201906,201906,100503,3054
72892796,202007,202007,100703,850.56
74020397,201902,201902,100703,563.95
72905779,201902,201902,100703,721.83
73206439,201811,201811,100703,677.43
73706774,201808,201808,100503,2934
73706774,201902,201902,100503,2934
72911714,201802,201802,120011,
72955864,201904,201904,100503,3235
73041860,201905,201905,100503,3054
10143738,201810,201810,100503,3482
73206439,201804,201804,100503,3383
73206439,201911,201911,100703,879.38
74020397,201908,201908,100703,755.09
72893833,201907,201907,100703,530.56
72980808,201806,201806,100703,482.43
74020397,202004,202004,100703,755.09
74227902,202004,202004,100703,786.42
73044820,201811,201811,100703,621.81
74227902,201905,201905,100503,3334
74227902,201808,201808,100703,610.93
74020397,201807,201807,100703,398.64
73073780,201801,201801,100703,490.69
72905779,202007,202007,100703,928.31
72955864,201902,201902,100503,3235
74227902,202002,202002,100503,3334
72980808,201806,201806,100503,3281
72893833,201805,201805,100503,2864
72905779,202004,202004,100503,3672
72905779,202009,202009,100703,1130.42
72911714,202011,202011,100502,189078
72892796,202012,202012,100501,
72892796,202009,202009,100703,1038.78
72905779,202010,202010,100703,1130.42
72911714,202009,202009,100703,1373.8
72911714,202106,202106,120011,
72911714,202102,202102,120011,
72911714,202009,202009,120013,401
72892796,202009,202009,100503,3265
72905779,202009,202009,100503,3672
72905779,202010,202010,100503,3672
72911714,202009,202009,100503,4884
72905779,202009,202009,100703,1130.42
72911714,202011,202011,100502,189078
72892796,202012,202012,100501,
72892796,202009,202009,100703,1038.78
72905779,202010,202010,100703,1130.42
72911714,202009,202009,100703,1373.8
72911714,202106,202106,120011,
72911714,202102,202102,120011,
72911714,202009,202009,120013,401
72892796,202009,202009,100503,3265
72905779,202009,202009,100503,3672
72905779,202010,202010,100503,3672
72911714,202009,202009,100503,4884
